,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
626,Escholzmatt-Marbach,Betriebe,272,4358,16.02
498,Frutigen,Betriebe,196,6894,35.17
588,Ruswil,Betriebe,195,6908,35.43
358,Eggiwil,Betriebe,189,2458,13.01
438,Schwarzenburg,Betriebe,187,6887,36.83
652,Einsiedeln,Betriebe,185,15361,83.03
494,Saanen,Betriebe,176,6882,39.1
617,Willisau,Betriebe,176,7777,44.19
712,Glarus Süd,Betriebe,167,9575,57.34
1224,Kirchberg (SG),Betriebe,164,8977,54.74
359,Langnau im Emmental,Betriebe,164,9241,56.35
371,Sumiswald,Betriebe,156,5021,32.19
575,Beromünster,Betriebe,154,6517,42.32
1214,Eschenbach (SG),Betriebe,154,9245,60.03
624,Schüpfheim,Betriebe,153,4188,27.37
1218,Nesslau,Betriebe,153,3611,23.6
1223,Wattwil,Betriebe,152,8630,56.78
683,Schwyz,Betriebe,151,14885,98.58
711,Glarus Nord,Betriebe,151,18057,119.58
605,Hergiswil bei Willisau,Betriebe,147,1890,12.86
620,Entlebuch,Betriebe,147,3367,22.9
2167,Fully,Betriebe,145,8622,59.46
1222,Neckertal,Betriebe,143,4014,28.07
1226,Mosnang,Betriebe,141,2890,20.5
695,Sarnen,Betriebe,140,10233,73.09
692,Kerns,Betriebe,140,6194,44.24
379,Köniz,Betriebe,136,40938,301.01
2282,Val-de-Ruz,Betriebe,130,16832,129.48
365,Trub,Betriebe,127,1350,10.63
606,Luthern,Betriebe,121,1281,10.59
369,Lützelflüh,Betriebe,120,4092,34.1
1149,Rüte,Betriebe,118,3543,30.03
1197,Flums,Betriebe,118,4919,41.69
496,Adelboden,Betriebe,118,3370,28.56
502,Reichenbach im Kandertal,Betriebe,116,3604,31.07
450,Rüeggisberg,Betriebe,113,1819,16.1
2126,Nendaz,Betriebe,112,6476,57.82
1163,Waldkirch,Betriebe,112,3509,31.33
504,Diemtigen,Betriebe,112,2175,19.42
436,Guggisberg,Betriebe,111,1586,14.29
584,Neuenkirch,Betriebe,110,6957,63.25
2285,Val-de-Travers,Betriebe,109,10950,100.46
2230,Savièse,Betriebe,109,7532,69.1
1672,Bellinzona,Betriebe,109,42901,393.59
607,Menznau,Betriebe,109,2897,26.58
1182,Altstätten,Betriebe,108,11438,105.91
551,Malters,Betriebe,107,7108,66.43
580,Grosswangen,Betriebe,106,3162,29.83
515,Grindelwald,Betriebe,105,3818,36.36
660,Küssnacht (SZ),Betriebe,105,12512,119.16
568,Hohenrain,Betriebe,104,2531,24.34
678,Muotathal,Betriebe,103,3543,34.4
364,Signau,Betriebe,103,2737,26.57
1227,Bütschwil-Ganterschwil,Betriebe,103,4734,45.96
673,Arth,Betriebe,103,11735,113.93
476,Sigriswil,Betriebe,102,4759,46.66
1324,Lumnezia,Betriebe,101,2068,20.48
353,Wynigen,Betriebe,100,2022,20.22
489,Lenk,Betriebe,100,2358,23.58
361,Röthenbach im Emmental,Betriebe,99,1183,11.95
691,Giswil,Betriebe,99,3631,36.68
566,Hitzkirch,Betriebe,98,5190,52.96
1587,Egnach,Betriebe,98,4699,47.95
1217,Wildhaus-Alt St. Johann,Betriebe,98,2667,27.21
634,Bürglen (UR),Betriebe,97,4021,41.45
1198,Mels,Betriebe,96,8605,89.64
338,Heimiswil,Betriebe,96,1589,16.55
360,Lauperswil,Betriebe,96,2604,27.12
719,Menzingen,Betriebe,95,4467,47.02
1162,Gossau (SG),Betriebe,94,18055,192.07
2117,Naters,Betriebe,94,9951,105.86
1150,Schlatt-Haslen,Betriebe,92,1102,11.98
621,Flühli,Betriebe,92,1937,21.05
1185,Oberriet (SG),Betriebe,91,8811,96.82
2231,Sion,Betriebe,88,34353,390.38
391,Fraubrunnen,Betriebe,88,4962,56.39
1213,Gommiswald,Betriebe,88,5053,57.42
2125,Conthey,Betriebe,87,8674,99.7
598,Dagmersellen,Betriebe,86,5287,61.48
294,Madiswil,Betriebe,86,3239,37.66
577,Buttisholz,Betriebe,86,3248,37.77
1148,Gonten,Betriebe,86,1434,16.67
384,Wohlen bei Bern,Betriebe,86,9136,106.23
383,Vechigen,Betriebe,86,5240,60.93
362,Rüderswil,Betriebe,86,2369,27.55
1841,Valbroye,Betriebe,85,2962,34.85
1524,Sins,Betriebe,85,4302,50.61
1642,Fischingen,Betriebe,85,2686,31.6
1253,Scuol,Betriebe,84,4638,55.21
491,Zweisimmen,Betriebe,84,3035,36.13
1614,Homburg,Betriebe,84,1537,18.3
1208,Schänis,Betriebe,84,3758,44.74
571,Römerswil,Betriebe,82,1763,21.5
1123,Herisau,Betriebe,82,15730,191.83
1128,Urnäsch,Betriebe,82,2271,27.7
488,Boltigen,Betriebe,82,1294,15.78
622,Hasle (LU),Betriebe,82,1746,21.29
593,Triengen,Betriebe,82,4587,55.94
337,Hasle bei Burgdorf,Betriebe,81,3331,41.12
2159,Salgesch,Betriebe,81,1470,18.15
764,Vuisternens-devant-Romont,Betriebe,80,2271,28.39
1191,Grabs,Betriebe,80,6884,86.05
363,Schangnau,Betriebe,80,909,11.36
1627,Kemmental,Betriebe,79,2465,31.2
420,Worb,Betriebe,79,11473,145.23
2262,La Chaux-de-Fonds,Betriebe,79,38965,493.23
2129,Bagnes,Betriebe,78,8073,103.5
846,Düdingen,Betriebe,78,7825,100.32
746,Estavayer,Betriebe,77,9434,122.52
1311,Klosters-Serneus,Betriebe,77,4476,58.13
250,Rapperswil (BE),Betriebe,77,2608,33.87
1216,Ebnat-Kappel,Betriebe,77,5034,65.38
98,Wald (ZH),Betriebe,77,9645,125.26
308,Huttwil,Betriebe,76,4835,63.62
1147,Appenzell,Betriebe,76,5825,76.64
1325,Ilanz/Glion,Betriebe,75,4736,63.15
708,Wolfenschiessen,Betriebe,75,2136,28.48
824,Gibloux,Betriebe,75,7236,96.48
1972,Bourg-en-Lavaux,Betriebe,75,5290,70.53
1235,Niederhelfenschwil,Betriebe,74,3069,41.47
721,Oberägeri,Betriebe,74,5994,81.0
889,Mümliswil-Ramiswil,Betriebe,74,2456,33.19
1314,Luzein,Betriebe,74,1550,20.95
1596,Amriswil,Betriebe,74,13346,180.35
464,Buchholterberg,Betriebe,73,1544,21.15
623,Romoos,Betriebe,73,667,9.14
2169,Leytron,Betriebe,73,3135,42.95
689,Alpnach,Betriebe,73,5997,82.15
694,Sachseln,Betriebe,72,5060,70.28
662,Altendorf,Betriebe,72,6907,95.93
490,St. Stephan,Betriebe,72,1325,18.4
716,Baar,Betriebe,72,24129,335.12
2100,Château-d'Oex,Betriebe,72,3474,48.25
2124,Chamoson,Betriebe,71,3721,52.41
610,Reiden,Betriebe,71,7008,98.7
625,Werthenstein,Betriebe,71,2040,28.73
1326,Safiental,Betriebe,71,897,12.63
1192,Sennwald,Betriebe,70,5455,77.93
1236,Oberbüren,Betriebe,70,4358,62.26
110,Wädenswil,Betriebe,69,21797,315.9
439,Belp,Betriebe,69,11534,167.16
115,Hombrechtikon,Betriebe,68,8620,126.76
1307,Davos,Betriebe,68,11060,162.65
1190,Gams,Betriebe,68,3339,49.1
372,Trachselwald,Betriebe,68,971,14.28
850,Plaffeien,Betriebe,68,3566,52.44
1206,Benken (SG),Betriebe,67,2916,43.52
667,Schübelbach,Betriebe,67,9073,135.42
609,Pfaffnau,Betriebe,67,2653,39.6
839,Murten,Betriebe,67,8168,121.91
1126,Schwellbrunn,Betriebe,67,1565,23.36
2389,Clos du Doubs,Betriebe,67,1321,19.72
444,Kirchdorf (BE),Betriebe,66,963,14.59
497,Aeschi bei Spiez,Betriebe,65,2232,34.34
647,Spiringen,Betriebe,65,834,12.83
434,Neuenegg,Betriebe,65,5436,83.63
1219,Hemberg,Betriebe,65,914,14.06
1234,Niederbüren,Betriebe,65,1530,23.54
572,Rothenburg,Betriebe,65,7430,114.31
370,Rüegsau,Betriebe,64,3202,50.03
627,Wolhusen,Betriebe,64,4299,67.17
1120,Wilchingen,Betriebe,64,1731,27.05
419,Walkringen,Betriebe,64,1799,28.11
1665,Bussnang,Betriebe,64,2268,35.44
133,Illnau-Effretikon,Betriebe,64,16796,262.44
1098,Thayngen,Betriebe,64,5422,84.72
95,Hinwil,Betriebe,64,11095,173.36
2261,La Grande-Béroche,Betriebe,63,9068,143.94
1245,Surses,Betriebe,63,2356,37.4
656,Feusisberg,Betriebe,63,5237,83.13
899,Buchegg,Betriebe,63,2532,40.19
761,Siviriez,Betriebe,62,2214,35.71
1249,Poschiavo,Betriebe,62,3534,57.0
1803,Ollon,Betriebe,62,7503,121.02
1877,Montanaire,Betriebe,62,2494,40.23
613,Ufhusen,Betriebe,62,891,14.37
381,Oberbalm,Betriebe,62,874,14.1
310,Wyssachen,Betriebe,62,1146,18.48
663,Galgenen,Betriebe,62,5199,83.85
2354,Haute-Sorne,Betriebe,61,6908,113.25
111,Horgen,Betriebe,61,20291,332.64
432,Mühleberg,Betriebe,61,2843,46.61
1658,Affeltrangen,Betriebe,61,2520,41.31
506,Oberwil im Simmental,Betriebe,61,799,13.1
368,Dürrenroth,Betriebe,61,1061,17.39
411,Linden,Betriebe,60,1287,21.45
612,Schötz,Betriebe,60,4272,71.2
1977,Oron,Betriebe,60,5423,90.38
2355,Val Terbi,Betriebe,60,2641,44.02
252,Seedorf (BE),Betriebe,60,3097,51.62
409,Konolfingen,Betriebe,59,5280,89.49
1774,Mendrisio,Betriebe,59,15110,256.1
616,Zell (LU),Betriebe,59,2025,34.32
1629,Langrickenbach,Betriebe,58,1285,22.16
324,Seeberg,Betriebe,58,1573,27.12
89,Bäretswil,Betriebe,58,5060,87.24
705,Oberdorf (NW),Betriebe,57,3135,55.0
1207,Kaltbrunn,Betriebe,57,4791,84.05
134,Bauma,Betriebe,57,4909,86.12
2174,Saxon,Betriebe,57,5645,99.04
162,Winterthur,Betriebe,57,109775,1925.88
1609,Uesslingen-Buch,Betriebe,57,1079,18.93
1232,Oberuzwil,Betriebe,56,6423,114.7
437,Rüschegg,Betriebe,56,1617,28.88
307,Eriswil,Betriebe,56,1407,25.12
449,Riggisberg,Betriebe,56,2456,43.86
251,Schüpfen,Betriebe,56,3719,66.41
565,Eschenbach (LU),Betriebe,55,3684,66.98
367,Affoltern im Emmental,Betriebe,55,1133,20.6
684,Steinen,Betriebe,54,3358,62.19
717,Cham,Betriebe,54,16216,300.3
555,Schwarzenberg,Betriebe,54,1719,31.83
1157,St. Gallen,Betriebe,54,75481,1397.8
493,Lauenen,Betriebe,54,835,15.46
1124,Hundwil,Betriebe,54,956,17.7
416,Oberthal,Betriebe,54,727,13.46
1156,Muolen,Betriebe,54,1208,22.37
1668,Wigoltingen,Betriebe,54,2423,44.87
745,Belmont-Broye,Betriebe,54,5402,100.04
245,Grossaffoltern,Betriebe,53,3005,56.7
1814,Vully-les-Lacs,Betriebe,53,2943,55.53
718,Hünenberg,Betriebe,53,8827,166.55
1968,Puidoux,Betriebe,53,2863,54.02
402,Bowil,Betriebe,53,1388,26.19
1134,Teufen (AR),Betriebe,53,6201,117.0
2244,St. Niklaus,Betriebe,53,2265,42.74
585,Nottwil,Betriebe,53,3728,70.34
703,Ennetmoos,Betriebe,53,2108,39.77
143,Uster,Betriebe,53,34319,647.53
859,Ueberstorf,Betriebe,53,2343,44.21
536,Meiringen,Betriebe,53,4692,88.53
713,Glarus,Betriebe,52,12515,240.67
690,Engelberg,Betriebe,52,4134,79.5
1661,Amlikon-Bissegg,Betriebe,52,1311,25.21
2127,Vétroz,Betriebe,52,6135,117.98
2146,Evolène,Betriebe,52,1697,32.63
724,Unterägeri,Betriebe,52,8576,164.92
2226,Crans-Montana,Betriebe,52,10711,205.98
844,Alterswil,Betriebe,52,2037,39.17
853,St. Antoni,Betriebe,52,2044,39.31
682,Sattel,Betriebe,51,1926,37.76
1653,Hauptwil-Gottshaus,Betriebe,51,1920,37.65
161,Turbenthal,Betriebe,51,4681,91.78
686,Unteriberg,Betriebe,51,2365,46.37
573,Schongau,Betriebe,51,1020,20.0
92,Fischenthal,Betriebe,51,2480,48.63
1238,Wil (SG),Betriebe,51,23751,465.71
322,Ochlenberg,Betriebe,51,561,11.0
1270,Maienfeld,Betriebe,51,2835,55.59
413,Münsingen,Betriebe,51,12396,243.06
410,Landiswil,Betriebe,51,624,12.24
137,Egg,Betriebe,50,8405,168.1
1327,Breil/Brigels,Betriebe,50,1263,25.26
1545,Brittnau,Betriebe,50,3882,77.64
415,Oberdiessbach,Betriebe,50,3496,69.92
833,Gurmels,Betriebe,50,4181,83.62
336,Ersigen,Betriebe,50,2010,40.2
1225,Lütisburg,Betriebe,50,1541,30.82
1660,Wuppenau,Betriebe,50,1133,22.66
1659,Schönholzerswilen,Betriebe,50,838,16.76
375,Bern,Betriebe,50,133115,2662.3
165,Wiesendangen,Betriebe,50,6296,125.92
1302,Arosa,Betriebe,49,3219,65.69
1255,Val Müstair,Betriebe,49,1538,31.39
1648,Wängi,Betriebe,49,4632,94.53
309,Walterswil (BE),Betriebe,49,546,11.14
693,Lungern,Betriebe,49,2129,43.45
1484,Mettauertal,Betriebe,49,1933,39.45
2266,La Brévine,Betriebe,49,632,12.9
453,Wald (BE),Betriebe,49,1183,24.14
1152,Oberegg,Betriebe,49,1906,38.9
2156,Leuk,Betriebe,49,3947,80.55
93,Gossau (ZH),Betriebe,49,9827,200.55
505,Erlenbach im Simmental,Betriebe,49,1718,35.06
788,Sâles,Betriebe,49,1446,29.51
1680,Serravalle,Betriebe,49,2101,42.88
1205,Amden,Betriebe,48,1793,37.35
522,Lauterbrunnen,Betriebe,48,2406,50.12
1132,Gais,Betriebe,48,3106,64.71
348,Oberburg,Betriebe,48,2940,61.25
1608,Thundorf,Betriebe,48,1462,30.46
400,Arni (BE),Betriebe,48,917,19.1
1519,Merenschwand,Betriebe,47,3491,74.28
11,Mettmenstetten,Betriebe,47,4861,103.43
2390,Haute-Ajoie,Betriebe,47,941,20.02
855,St. Ursen,Betriebe,47,1319,28.06
645,Silenen,Betriebe,47,2045,43.51
268,Ins,Betriebe,46,3496,76.0
366,Trubschachen,Betriebe,46,1448,31.48
550,Kriens,Betriebe,46,27110,589.35
2132,Orsières,Betriebe,46,3220,70.0
1345,Domleschg,Betriebe,46,1954,42.48
1591,Roggwil (TG),Betriebe,46,3065,66.63
2145,Ayent,Betriebe,46,3935,85.54
1795,Aigle,Betriebe,46,9961,216.54
1194,Wartau,Betriebe,46,5237,113.85
1652,Erlen,Betriebe,46,3649,79.33
482,Uetendorf,Betriebe,45,6006,133.47
669,Vorderthal,Betriebe,45,1016,22.58
570,Rain,Betriebe,45,2659,59.09
1615,Hüttwilen,Betriebe,45,1705,37.89
1637,Aadorf,Betriebe,45,8865,197.0
1602,Frauenfeld,Betriebe,45,25200,560.0
601,Ettiswil,Betriebe,45,2718,60.4
305,Ursenbach,Betriebe,45,903,20.07
1117,Hallau,Betriebe,45,2118,47.07
1663,Birwinken,Betriebe,45,1338,29.73
1315,Grüsch,Betriebe,45,2049,45.53
1333,Obersaxen Mundaun,Betriebe,45,1147,25.49
518,Habkern,Betriebe,45,650,14.44
1446,Bözberg,Betriebe,45,1563,34.73
1686,Faido,Betriebe,45,2978,66.18
1662,Berg (TG),Betriebe,45,3308,73.51
108,Schönenberg (ZH),Betriebe,44,1849,42.02
765,Villorsonnens,Betriebe,44,1347,30.61
827,Courtepin,Betriebe,44,5398,122.68
1510,Beinwil (Freiamt),Betriebe,44,1110,25.23
1203,Walenstadt,Betriebe,44,5590,127.05
1151,Schwende,Betriebe,44,2193,49.84
534,Hasliberg,Betriebe,44,1193,27.11
586,Oberkirch,Betriebe,44,4636,105.36
1200,Quarten,Betriebe,43,2873,66.81
681,Rothenthurm,Betriebe,43,2375,55.23
1796,Bex,Betriebe,43,7608,176.93
668,Tuggen,Betriebe,43,3239,75.33
2250,Visperterminen,Betriebe,43,1363,31.7
2225,Anniviers,Betriebe,43,2719,63.23
640,Isenthal,Betriebe,43,503,11.7
1461,Schmiedrued,Betriebe,43,1176,27.35
291,Gondiswil,Betriebe,43,733,17.05
128,Pfäffikon,Betriebe,42,11774,280.33
860,Wünnewil-Flamatt,Betriebe,42,5470,130.24
249,Radelfingen,Betriebe,42,1240,29.52
1244,Albula/Alvra,Betriebe,42,1331,31.69
2170,Martigny,Betriebe,42,17998,428.52
1633,Wäldi,Betriebe,42,1049,24.98
535,Innertkirchen,Betriebe,42,1087,25.88
1971,Savigny,Betriebe,42,3312,78.86
1231,Jonschwil,Betriebe,42,3788,90.19
156,Neftenbach,Betriebe,42,5564,132.48
1229,Degersheim,Betriebe,42,3986,94.9
477,Steffisburg,Betriebe,42,15783,375.79
2183,Val-d'Illiez,Betriebe,41,1902,46.39
1127,Stein (AR),Betriebe,41,1418,34.59
698,Beckenried,Betriebe,41,3567,87.0
699,Buochs,Betriebe,41,5389,131.44
179,Zürich,Betriebe,41,402762,9823.46
1221,Oberhelfenschwil,Betriebe,41,1296,31.61
503,Därstetten,Betriebe,41,851,20.76
1460,Schlossrued,Betriebe,41,841,20.51
193,Sonvilier,Betriebe,41,1266,30.88
1521,Muri (AG),Betriebe,41,7638,186.29
2325,Satigny,Betriebe,41,4102,100.05
540,Luzern,Betriebe,41,81592,1990.05
2358,Les Bois,Betriebe,41,1219,29.73
492,Gsteig,Betriebe,41,981,23.93
1821,Lucens,Betriebe,40,4069,101.72
424,Wichtrach,Betriebe,40,4233,105.82
848,Bösingen,Betriebe,40,3412,85.3
736,Montagny (FR),Betriebe,40,2404,60.1
700,Dallenwil,Betriebe,40,1832,45.8
599,Ebersecken,Betriebe,40,395,9.88
587,Rickenbach (LU),Betriebe,40,3248,81.2
1271,Malans,Betriebe,40,2310,57.75
376,Bolligen,Betriebe,40,6250,156.25
1212,Rapperswil-Jona,Betriebe,40,26962,674.05
604,Grossdietwil,Betriebe,40,838,20.95
1513,Boswil,Betriebe,40,2808,70.2
569,Inwil,Betriebe,39,2429,62.28
842,Mont-Vully,Betriebe,39,3556,91.18
654,Gersau,Betriebe,39,2260,57.95
762,Ursy,Betriebe,39,3030,77.69
1556,Uerkheim,Betriebe,39,1359,34.85
94,Grüningen,Betriebe,39,3401,87.21
1573,Leuggern,Betriebe,39,2129,54.59
345,Krauchthal,Betriebe,39,2344,60.1
725,Walchwil,Betriebe,39,3626,92.97
246,Kallnach,Betriebe,39,1910,48.97
670,Wangen (SZ),Betriebe,39,4989,127.92
1666,Märstetten,Betriebe,39,2802,71.85
1158,Wittenbach,Betriebe,39,9779,250.74
1316,Schiers,Betriebe,39,2627,67.36
642,Schattdorf,Betriebe,39,5248,134.56
1199,Pfäfers,Betriebe,39,1572,40.31
602,Fischbach,Betriebe,38,699,18.39
2248,Törbel,Betriebe,38,471,12.39
849,Heitenried,Betriebe,38,1365,35.92
648,Unterschächen,Betriebe,38,710,18.68
457,Burgistein,Betriebe,38,1070,28.16
1109,Schleitheim,Betriebe,38,1675,44.08
870,La Verrerie,Betriebe,38,1158,30.47
1339,Cazis,Betriebe,38,2132,56.11
378,Kirchlindach,Betriebe,38,3029,79.71
959,Selzach,Betriebe,38,3397,89.39
1530,Möhlin,Betriebe,38,10913,287.18
241,Twann-Tüscherz,Betriebe,38,1154,30.37
722,Risch,Betriebe,38,10355,272.5
562,Ballwil,Betriebe,38,2794,73.53
2024,Echichens,Betriebe,38,2642,69.53
1618,Pfyn,Betriebe,38,1951,51.34
1193,Sevelen,Betriebe,38,4999,131.55
1572,Lengnau (AG),Betriebe,37,2680,72.43
2173,Saillon,Betriebe,37,2541,68.68
1155,Häggenschwil,Betriebe,37,1310,35.41
856,Schmitten (FR),Betriebe,37,4072,110.05
702,Ennetbürgen,Betriebe,37,4567,123.43
1678,Acquarossa,Betriebe,37,1850,50.0
864,Châtel-Saint-Denis,Betriebe,37,6528,176.43
483,Unterlangenegg,Betriebe,37,973,26.3
2391,La Baroche,Betriebe,37,1212,32.76
194,Tramelan,Betriebe,37,4565,123.38
164,Elgg,Betriebe,37,4323,116.84
355,Utzenstorf,Betriebe,36,4253,118.14
466,Fahrni,Betriebe,36,802,22.28
2367,Saignelégier,Betriebe,36,2556,71.0
630,Altdorf (UR),Betriebe,36,9211,255.86
1679,Blenio,Betriebe,36,1816,50.44
2115,Brig-Glis,Betriebe,36,13158,365.5
1809,Yvorne,Betriebe,36,1058,29.39
815,Le Mouret,Betriebe,36,3156,87.67
657,Freienbach,Betriebe,36,16196,449.89
1473,Kaisten,Betriebe,36,2582,71.72
793,Val-de-Charmey,Betriebe,36,2435,67.64
685,Steinerberg,Betriebe,36,916,25.44
1737,Lugano,Betriebe,36,63932,1775.89
1657,Zihlschlacht-Sitterdorf,Betriebe,36,2281,63.36
304,Thunstetten,Betriebe,36,3338,92.72
507,Spiez,Betriebe,36,12713,353.14
1966,Forel (Lavaux),Betriebe,36,2075,57.64
1167,Mörschwil,Betriebe,36,3569,99.14
1366,Gränichen,Betriebe,36,7624,211.78
1330,Sumvitg,Betriebe,36,1216,33.78
140,Maur,Betriebe,36,10067,279.64
1453,Gontenschwil,Betriebe,36,2111,58.64
2365,Muriaux,Betriebe,35,504,14.4
1202,Vilters-Wangs,Betriebe,35,4738,135.37
679,Oberiberg,Betriebe,35,885,25.29
787,La Roche,Betriebe,35,1644,46.97
